"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Burkholderia sp. NRF60-BP8","2","Burkholderia sp. NRF60-BP8 chromosome 1, complete sequence","1637853","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. NRF60-BP8"
"Burkholderia thailandensis","2","Burkholderia thailandensis E264 chromosome I, complete sequence"," 271848","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia thailandensis"
"Burkholderia ubonensis","2","Burkholderia ubonensis MSMB22 chromosome I, complete sequence","1249668","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia ubonensis"
"Calothrix parietina","2","Calothrix sp. PCC 6303, complete genome","1170562","Bacteria","Cyanobacteria","","Nostocales","Rivulariaceae","Calothrix","Calothrix parietina"
"Calothrix sp. NIES-2098","2","Calothrix sp. NIES-2098 DNA, complete genome","1954171","Bacteria","Cyanobacteria","","Nostocales","Rivulariaceae","Calothrix","Calothrix sp. NIES-2098"
"Campoletis sonorensis ichnovirus","2","Campoletis sonorensis ichnovirus segment I, complete sequence","  10484","Viruses","","","","Polydnaviridae","Ichnovirus","Campoletis sonorensis ichnovirus"
"Candidatus Accumulibacter phosphatis","2","Candidatus Accumulibacter phosphatis clade IIA str. UW-1, complete genome"," 522306","Bacteria","Proteobacteria","Betaproteobacteria","","","Candidatus Accumulibacter","Candidatus Accumulibacter phosphatis"
"Candidatus Liberibacter asiaticus","2","Candidatus Liberibacter asiaticus str. psy62, complete genome"," 537021","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Liberibacter","Candidatus Liberibacter asiaticus"
"Candidatus Nanopelagicus hibericus","2","Candidatus Nanopelagicus hibericus isolate MMS-21-160 chromosome, complete genome","1884915","Bacteria","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","Candidatus Nanopelagicus hibericus"
"Candidatus Planktophila lacus","2","Candidatus Planktophila lacus isolate MMS-21-148 chromosome, complete genome","1884913","Bacteria","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","Candidatus Planktophila lacus"
"Capnocytophaga gingivalis","2","Capnocytophaga gingivalis strain H1496 chromosome, complete genome","   1017","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga gingivalis"
"Capnocytophaga sputigena","2","Capnocytophaga sputigena strain KC1668 chromosome, complete genome","   1019","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena"
"Celeribacter indicus","2","Celeribacter indicus strain P73, complete genome","1208324","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Celeribacter indicus"
"Cellulophaga algicola","2","Cellulophaga algicola DSM 14237, complete genome"," 688270","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga algicola"
"Chelativorans sp. BNC1","2","Chelativorans sp. BNC1, complete genome"," 266779","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans","Chelativorans sp. BNC1"
"Chlamydia trachomatis","2","Chlamydia trachomatis D/UW-3/CX, complete genome"," 272561","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia trachomatis"
"Citrobacter amalonaticus","2","Citrobacter amalonaticus Y19, complete genome","1261127","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter amalonaticus"
"Citrobacter koseri","2","Citrobacter koseri ATCC BAA-895, complete genome"," 290338","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter koseri"
"Citrobacter rodentium","2","Citrobacter rodentium ICC168, complete genome"," 637910","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter rodentium"
"Citrobacter sp. CFNIH10","2","Citrobacter sp. CFNIH10 chromosome, complete genome","1920110","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sp. CFNIH10"
"Clostridioides difficile","2","Clostridium difficile 630 complete genome"," 272563","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile"
"Clostridium butyricum","2","Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence","   1492","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium butyricum"
"Clostridium kluyveri","2","Clostridium kluyveri NBRC 12016 DNA, complete genome"," 583346","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium kluyveri"
"Clostridium tetani","2","Clostridium tetani E88, complete genome"," 212717","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium tetani"
"Clostridium tyrobutyricum","2","Clostridium tyrobutyricum strain KCTC 5387 chromosome, complete genome","   1519","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium tyrobutyricum"
"Cnuibacter physcomitrellae","2","Cnuibacter physcomitrellae strain XA(T) chromosome, complete genome","1619308","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cnuibacter","Cnuibacter physcomitrellae"
"Cobetia marina","2","Cobetia marina strain JCM 21022 chromosome, complete genome","  28258","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","Cobetia marina"
"Collimonas arenae","2","Collimonas arenae strain Cal35, complete genome"," 279058","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","Collimonas arenae"
"Comamonadaceae bacterium A1","2","Comamonadaceae bacterium A1 DNA, complete genome","1458425","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","","Comamonadaceae bacterium A1"
"Confluentimicrobium sp. EMB200-NS6","2","Confluentimicrobium sp. EMB200-NS6, complete genome","1609966","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Confluentimicrobium","Confluentimicrobium sp. EMB200-NS6"
"Corynebacterium aquilae","2","Corynebacterium aquilae DSM 44791 strain S-613, complete genome","1431546","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium aquilae"
"Corynebacterium atypicum","2","Corynebacterium atypicum strain R2070, complete genome"," 191610","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium atypicum"
"Corynebacterium flavescens","2","Corynebacterium flavescens strain OJ8, complete genome","  28028","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium flavescens"
"Corynebacterium glaucum","2","Corynebacterium glaucum strain DSM 30827 chromosome, complete genome"," 187491","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium glaucum"
"Corynebacterium glutamicum","2","Corynebacterium glutamicum R DNA, complete genome"," 340322","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium glutamicum"
"Corynebacterium kroppenstedtii","2","Corynebacterium kroppenstedtii DSM 44385, complete genome"," 645127","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium kroppenstedtii"
"Cryobacterium sp. LW097","2","Cryobacterium sp. LW097 chromosome, complete genome","1978566","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium","Cryobacterium sp. LW097"
"Curtobacterium pusillum","2","Curtobacterium pusillum strain AA3 chromosome, complete genome","  69373","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium pusillum"
"Curtobacterium sp. BH-2-1-1","2","Curtobacterium sp. BH-2-1-1 chromosome, complete genome","1905847","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. BH-2-1-1"
"Cystobacter fuscus","2","Cystobacter fuscus strain DSM 52655 chromosome, complete genome","     43","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter","Cystobacter fuscus"
"Dermabacter vaginalis","2","Dermabacter vaginalis strain AD1-86, complete genome","1630135","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","Dermabacter vaginalis"
"Desulfobacterium autotrophicum","2","Desulfobacterium autotrophicum HRM2, complete genome"," 177437","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium","Desulfobacterium autotrophicum"
"Devosia sp. I507","2","Devosia sp. I507 chromosome, complete genome","2083786","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia sp. I507"
"Dickeya zeae","2","Dickeya zeae Ech586 chromosome, complete genome"," 590409","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya zeae"
"Dinoroseobacter shibae","2","Dinoroseobacter shibae DFL 12, complete genome"," 398580","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Dinoroseobacter","Dinoroseobacter shibae"
"Edwardsiella tarda","2","Edwardsiella tarda EIB202, complete genome"," 498217","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella","Edwardsiella tarda"
"Enterobacter cancerogenus","2","Enterobacter cancerogenus strain CR-Eb1 chromosome, complete genome","  69218","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus"
"Enterobacter cloacae complex sp. 35734","2","Enterobacter cloacae complex sp. 35734 chromosome 1, complete sequence","1870930","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae complex sp. 35734"
"Enterobacteria phage IME10","2","Enterobacteria phage IME10, complete genome","1090133","Viruses","","","Caudovirales","Podoviridae","","Enterobacteria phage IME10"
"Enterobacter sp. SA187","2","Enterobacter sp. SA187 chromosome, complete genome","1914861","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. SA187"
"Eremothecium gossypii","2","Ashbya gossypii ATCC 10895 chromosome I, complete sequence"," 284811","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Eremothecium","Eremothecium gossypii"
"Erythrobacter gangjinensis","2","Erythrobacter gangjinensis strain CGMCC1.15024 chromosome I, complete sequence"," 502682","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter gangjinensis"
"Escherichia marmotae","2","Escherichia marmotae strain HT073016 chromosome, complete genome","1499973","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae"
"Exiguobacterium sibiricum","2","Exiguobacterium sibiricum 255-15, complete genome"," 262543","Bacteria","Firmicutes","Bacilli","Bacillales","","Exiguobacterium","Exiguobacterium sibiricum"
"Filimonas lacunae","2","Filimonas lacunae DNA, complete genome, strain: NBRC 104114"," 477680","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Filimonas","Filimonas lacunae"
"Flavobacterium commune","2","Flavobacterium communis strain PK15 chromosome, complete genome","1306519","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium commune"
"Flavobacterium crassostreae","2","Flavobacterium crassostreae strain LPB0076 chromosome, complete genome","1763534","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium crassostreae"
"Fluviicola taffensis","2","Fluviicola taffensis DSM 16823, complete genome"," 755732","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola taffensis"
"Frankia casuarinae","2","Frankia casuarinae strain CcI3 chromosome, complete genome"," 106370","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia","Frankia casuarinae"
"Gluconobacter oxydans","2","Gluconobacter oxydans 621H, complete genome"," 290633","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter","Gluconobacter oxydans"
"Gordonia polyisoprenivorans","2","Gordonia polyisoprenivorans VH2, complete genome","1112204","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Gordoniaceae","Gordonia","Gordonia polyisoprenivorans"
"Haemophilus sp. oral taxon 036","2","Haemophilus sp. oral taxon 036 strain F0629 chromosome, complete genome"," 712310","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sp. oral taxon 036"
"Halioglobus pacificus","2","Halioglobus pacificus strain RR3-57 chromosome, complete genome"," 930806","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","Halioglobus pacificus"
"Hop trefoil cryptic virus 2","2","Hop trefoil cryptic virus 2 isolate IPP_GelbSK segment RNA 1, complete sequence","1323523","Viruses","","","","Partitiviridae","Betapartitivirus","Hop trefoil cryptic virus 2"
"Hymenobacter sp. APR13","2","Hymenobacter sp. APR13, complete genome","1356852","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter sp. APR13"
"Hyphomonas neptunium","2","Hyphomonas neptunium ATCC 15444, complete genome"," 228405","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hyphomonas","Hyphomonas neptunium"
"Jonesia denitrificans","2","Jonesia denitrificans DSM 20603, complete genome"," 471856","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Jonesiaceae","Jonesia","Jonesia denitrificans"
"Kingella kingae","2","Kingella kingae genome assembly KKKWG1, chromosome : I","    504","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","Kingella kingae"
"Kitasatospora albolonga","2","Kitasatospora albolonga strain YIM 101047 chromosome, complete genome","  68173","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora","Kitasatospora albolonga"
"Klebsiella quasipneumoniae","2","Klebsiella quasipneumoniae strain ATCC 700603, complete genome","1463165","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella variicola","2","Klebsiella variicola At-22, complete genome"," 640131","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella variicola"
"Labrenzia aggregata","2","Labrenzia aggregata strain RMAR6-6 chromosome, complete genome"," 187304","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia aggregata"
"Labrenzia sp. CP4","2","Labrenzia sp. CP4, complete genome","1674922","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia sp. CP4"
"Lacimicrobium alkaliphilum","2","Lacimicrobium alkaliphilum strain YelD216, complete genome","1526571","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Lacimicrobium","Lacimicrobium alkaliphilum"
"Lactobacillus acidophilus","2","Lactobacillus acidophilus NCFM, complete genome"," 272621","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus"
"Lactobacillus fermentum","2","Lactobacillus fermentum IFO 3956 DNA, complete genome"," 334390","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum"
"Lactobacillus paracasei","2","Lactobacillus paracasei ATCC 334, complete genome"," 321967","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paracasei"
"Leclercia sp. LSNIH1","2","Leclercia sp. LSNIH1 chromosome, complete genome","1920114","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia sp. LSNIH1"
"Legionella hackeliae","2","Legionella hackeliae genome assembly LHA, chromosome : I","    449","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella hackeliae"
"Lelliottia amnigena","2","Lelliottia amnigena strain ZB04, complete genome","  61646","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia amnigena"
"Lelliottia jeotgali","2","Lelliottia sp. PFL01 chromosome, complete genome","1907578","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia jeotgali"
"Lelliottia sp. WB101","2","Lelliottia sp. WB101 chromosome, complete genome","2153385","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia sp. WB101"
"Leptospira biflexa","2","Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' chromosome I, complete sequence"," 355278","Bacteria","Spirochaetes","Spirochaetia","","Leptospiraceae","Leptospira","Leptospira biflexa"
"Lysobacter enzymogenes","2","Lysobacter enzymogenes DNA, complete genome, strain: M497-1","     69","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter enzymogenes"
"Marinithermus hydrothermalis","2","Marinithermus hydrothermalis DSM 14884, complete genome"," 869210","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Marinithermus","Marinithermus hydrothermalis"
"Marivivens sp. JLT3646","2","Marivivens sp. JLT3646 chromosome, complete genome","1920883","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivivens","Marivivens sp. JLT3646"
"Martelella sp. AD-3","2","Martelella sp. AD-3, complete genome"," 686597","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella","Martelella sp. AD-3"
"Methylosinus trichosporium","2","Methylosinus trichosporium OB3b chromosome, complete genome"," 595536","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylosinus","Methylosinus trichosporium"
"Microbacterium sp. str. 'China'","2","Microbacterium sp. str. 'China' chromosome, complete genome","2103230","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. str. 'China'"
"Microcella alkaliphila","2","Microcella alkaliphila DNA, complete genome, strain: JAM AC0309"," 279828","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microcella","Microcella alkaliphila"
"Microlunatus phosphovorus","2","Microlunatus phosphovorus NM-1 DNA, complete genome","1032480","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus phosphovorus"
"Minicystis rosea","2","Minicystis rosea strain DSM 24000, complete genome"," 888845","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","Minicystis","Minicystis rosea"
"Mordavella sp. Marseille-P3756","2","Mordavella sp. Marseille-P3756 genome assembly, chromosome: contig00001","2086584","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Mordavella","Mordavella sp. Marseille-P3756"
"Mucilaginibacter gotjawali","2","Mucilaginibacter gotjawali DNA, complete genome","1550579","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter gotjawali"
"Mucilaginibacter sp. PAMC 26640","2","Mucilaginibacter sp. PAMC 26640 chromosome, complete genome","1300914","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter sp. PAMC 26640"
"Mycobacterium bovis","2","Mycobacterium bovis BCG Pasteur 1173P2, complete genome"," 410289","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium bovis"
"Mycobacterium chubuense","2","Mycobacterium chubuense NBB4, complete genome"," 710421","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycobacterium chubuense"
"Mycobacterium goodii","2","Mycobacterium goodii strain X7B, complete genome"," 134601","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycobacterium goodii"
"Mycobacterium lepraemurium","2","Mycobacterium lepraemurium strain Hawaii chromosome, complete genome","  64667","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium lepraemurium"
"Mycobacterium liflandii","2","Mycobacterium liflandii 128FXT, complete genome"," 459424","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium liflandii"
"Mycobacterium litorale","2","Mycobacterium litorale strain F4 chromosome, complete genome"," 758802","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycobacterium litorale"
"Mycobacterium marinum","2","Mycobacterium marinum M, complete genome"," 216594","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium marinum"
"Mycobacterium paraintracellulare","2","Mycobacterium intracellulare MOTT-64, complete genome","1138383","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium paraintracellulare"
"Mycobacterium rhodesiae","2","Mycobacterium rhodesiae NBB3, complete genome"," 710685","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium rhodesiae"
"Mycobacterium shigaense","2","Mycobacterium shigaense DNA, complete genome, strain: UN-152"," 722731","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium shigaense"
"Mycobacterium sp. MCS","2","Mycobacterium sp. MCS, complete genome"," 164756","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. MCS"
"Mycobacterium ulcerans","2","Mycobacterium ulcerans Agy99, complete genome"," 362242","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium ulcerans"
"Mycobacteroides immunogenum","2","Mycobacterium immunogenum strain CCUG 47286, complete genome","  83262","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacteroides","Mycobacteroides immunogenum"
"Mycoplasma gallisepticum","2","Mycoplasma gallisepticum str. R(high), complete genome"," 710128","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma gallisepticum"
"Mycoplasma hyorhinis","2","Mycoplasma hyorhinis HUB-1, complete genome"," 872331","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma hyorhinis"
"Mycoplasma synoviae","2","Mycoplasma synoviae 53, complete genome"," 262723","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma synoviae"
"Natranaerobius thermophilus","2","Natranaerobius thermophilus JW/NM-WN-LF, complete genome"," 457570","Bacteria","Firmicutes","Clostridia","Natranaerobiales","Natranaerobiaceae","Natranaerobius","Natranaerobius thermophilus"
"Neisseria mucosa","2","Neisseria mucosa strain ATCC 19696 chromosome, complete genome","    488","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria mucosa"
"Neomicrococcus aestuarii","2","Neomicrococcus aestuarii strain B18, complete genome"," 556325","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Neomicrococcus","Neomicrococcus aestuarii"
"Nonomuraea sp. ATCC 55076","2","Nonomuraea sp. ATCC 55076 chromosome, complete genome","1909395","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea sp. ATCC 55076"
"Obesumbacterium proteus","2","Obesumbacterium proteus strain DSM 2777, complete genome","  82983","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Obesumbacterium","Obesumbacterium proteus"
"Ornithobacterium rhinotracheale","2","Ornithobacterium rhinotracheale DSM 15997, complete genome"," 867902","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ornithobacterium","Ornithobacterium rhinotracheale"
"Oxalobacter formigenes","2","Oxalobacter formigenes strain HC-1, complete genome","    847","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter formigenes"
"Paenibacillus xylanexedens","2","Paenibacillus xylanexedens strain PAMC 22703, complete genome"," 528191","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus xylanexedens"
"Paludisphaera borealis","2","Paludisphaera borealis strain PX4, complete genome","1387353","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Isosphaeraceae","Paludisphaera","Paludisphaera borealis"
"Pandoraea vervacti","2","Pandoraea vervacti strain NS15, complete genome"," 656178","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea","Pandoraea vervacti"
"Paraburkholderia aromaticivorans","2","Paraburkholderia sp. BN5 chromosome 1, complete sequence","2026199","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia aromaticivorans"
"Paraburkholderia caribensis","2","Paraburkholderia caribensis MBA4 chromosome 1, complete sequence","1323664","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia caribensis"
"Paraburkholderia phenoliruptrix","2","Paraburkholderia phenoliruptrix BR3459a chromosome 1, complete sequence","1229205","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia phenoliruptrix"
"Paraburkholderia sp. SOS3","2","Paraburkholderia sp. SOS3 chromosome 1, complete sequence","1926494","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia sp. SOS3"
"Paracoccus sp. BM15","2","Paracoccus sp. BM15 chromosome, complete genome","1529068","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus sp. BM15"
"Pasteurella multocida","2","Pasteurella multocida subsp. multocida str. Pm70, complete genome"," 272843","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","Pasteurella multocida"
"Pectobacterium carotovorum","2","Pectobacterium carotovorum subsp. carotovorum PC1, complete genome"," 561230","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium carotovorum"
